,Persons Obtaining Legal Permanent Resident Status During Fiscal Year 2007,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics,,,,
1,,,,,
2,"CBSA: Denver-Aurora, CO",,,,
3,,,,,
4,Characteristic,Total,Male,Female,Unknown
5,Total,7384,3260,4124,-
6,,,,,
7,New arrivals,3024,1303,1721,-
8,Adjustments of status,4360,1957,2403,-
9,,,,,
10,Age,,,,
11,Under 18 years,1609,762,847,-
12,18 to 24 years,925,414,511,-
13,25 to 34 years,1933,842,1091,-
14,35 to 44 years,1328,616,712,-
15,45 to 54 years,667,261,406,-
16,55 to 64 years,492,185,307,-
17,65 years and over,430,180,250,-
18,Unknown,-,-,-,-
19,,,,,
20,Marital status,,,,
21,Single,2629,1337,1292,-
22,Married,4354,1842,2512,-
23,Other,355,60,295,-
24,Unknown,46,21,25,-
25,,,,,
26,Occupation,,,,
27,"Management, professional, and related occupations",611,385,226,-
28,Service occupations,324,154,170,-
29,Sales and office occupations,274,135,139,-
30,"Farming, fishing, and forestry occupations",106,D,D,-
31,"Construction, extraction, maintenance and repair occupations",59,D,D,-
32,"Production, transportation, and material moving occupations",271,215,56,-
33,Military,-,-,-,-
34,No occupation/not working outside home,3502,1206,2296,-
35,Homemakers,938,22,916,-
36,Students or children,1950,917,1033,-
37,Retirees,77,35,42,-
38,Unemployed,537,232,305,-
39,Unknown,2237,1022,1215,-
40,,,,,
41,Broad class of admission,,,,
42,Family-sponsored preferences,989,426,563,-
43,Employment-based preferences,940,477,463,-
44,Immediate relatives of U.S. citizens,3699,1452,2247,-
45,Diversity,447,255,192,-
46,Refugees and asylees,1195,592,603,-
47,Other,114,58,56,-
48,,,,,
49,Leading countries of birth,,,,
50,Canada,144,79,65,-
51,China,421,136,285,-
52,Ethiopia,529,242,287,-
53,Ghana,89,48,41,-
54,Guatemala,97,51,46,-
55,India,276,130,146,-
56,Korea,177,74,103,-
57,Mexico,1816,797,1019,-
58,Morocco,75,33,42,-
59,Nepal,94,45,49,-
60,Peru,116,47,69,-
61,Philippines,177,59,118,-
62,Russia,221,93,128,-
63,Somalia,96,50,46,-
64,Sudan,101,42,59,-
65,Ukraine,109,54,55,-
66,United Kingdom,115,70,45,-
67,Uzbekistan,140,71,69,-
68,Vietnam,383,154,229,-
69,Other,2202,982,1220,-
70,Unknown,6,3,3,-
71,D  Data withheld to limit disclosure.,,,,
72,- Represents zero.,,,,
73,Source: U.S. Department of Homeland Security,,,,
